0.5000000000,0.5005520022,0.5002240009,0.5004000016
0.2000000000,0.2001688007,0.1961007844,0.2023218093
0.1000000000,0.0996463986,0.0674382698,0.0758483034
0.0500000000,0.0499661999,0.0192720771,0.0236730947
0.0200000000,0.0201280805,0.0032860131,0.0041860167
0.0100000000,0.0100180401,0.0007700031,0.0011170045
0.0050000000,0.0049690199,0.0002530010,0.0002940012
0.0020000000,0.0019780079,0.0000450002,0.0000410002
0.0010000000,0.0010050040,0.0000120000,0.0000150001
0.0005000000,0.0005480022,0.0000010000,0.0000000000
0.0002000000,0.0002340009,0.0000030000,0.0000000000
0.0001000000,0.0000990004,0.0000000000,0.0000000000
0.0000500000,0.0000410002,0.0000000000,0.0000000000
0.0000200000,0.0000200001,0.0000000000,0.0000000000
